YEAR,STATE,TOTAL ELECTORAL VOTES: D,TOTAL ELECTORAL VOTES: R,POPULAR VOTE: D,POPULAR VOTE: R,POPULAR VOTE: All Others
2020,CA,55,,11110639,6006518,384223
2020,NY,29,,5244886,3251997,119978
2020,PA,20,,3458229,3377674,101073
2020,GA,16,,2473633,2461854,64473
2020,IL,20,,3471915,2446891,114938
2020,MI,16,,2804040,2649852,85410
2020,NJ,14,,2608400,1883313,57744
2020,VA,13,,2413568,1962430,84526
2020,AZ,11,,1672143,1661686,53497
2020,MN,10,,1717077,1484065,76029
2020,WA,12,,2369612,1584651,133368
2020,WI,10,,1630866,1610184,56991
2020,CO,9,,1804352,1364607,88021
2020,MA,11,,2382202,1167202,81998
2020,CT,7,,1080831,714717,28309
2020,MD,10,,1985023,976414,75593
2020,NV,6,,703486,669890,32000
2020,OR,7,,1340383,958448,75490
2020,NH,4,,424937,365660,15608
2020,NM,5,,501614,401894,20457
2020,RI,4,,307486,199922,10349
2020,DE,3,,296268,200603,7475
2020,HI,4,,366130,196864,11475
2020,ME,3,1,435072,360737,23652
2020,VT,3,,242820,112704,11904
2020,DC,3,,317323,18586,8447
2020,AK,,3,153778,189951,15801
2020,ID,,4,287021,554119,26794
2020,MT,,3,244786,343602,15286
2020,NE,1,4,374583,556846,24954
2020,ND,,3,115042,235751,11231
2020,SD,,3,150471,261043,11095
2020,WY,,3,73491,193559,9715
2020,AR,,6,423932,760647,34490
2020,MS,,6,539398,756764,17597
2020,OK,,7,503890,1020280,36529
2020,UT,,6,560282,865140,62867
2020,WV,,5,235984,545382,13365
2020,AL,,9,849624,1441170,32488
2020,IA,,6,759061,897672,34138
2020,KS,,6,570323,771406,32257
2020,KY,,8,772474,1326646,37648
2020,LA,,8,856034,1255776,36252
2020,MO,,10,1253014,1718736,54212
2020,SC,,9,1091541,1385103,36685
2020,TN,,11,1143711,1852475,57665
2020,IN,,11,1242498,1729857,60855
2020,NC,,15,2684292,2758775,81737
2020,OH,,18,2679165,3154834,88203
2020,FL,,29,5297045,5668731,101680
2020,TX,,38,5259126,5890347,165583
2016,TX,,36,3877868,4685047,406311
2016,FL,,29,4504975,4617886,297178
2016,PA,,20,2926441,2970733,268304
2016,GA,,16,1877963,2089104,147665
2016,MI,,16,2268839,2279543,250902
